Month,vacation: (Polska)
2004-01,0
2004-02,88
2004-03,0
2004-04,66
2004-05,0
2004-06,0
2004-07,100
2004-08,0
2004-09,46
2004-10,0
2004-11,39
2004-12,33
2005-01,40
2005-02,32
2005-03,0
2005-04,0
2005-05,46
2005-06,45
2005-07,47
2005-08,54
2005-09,40
2005-10,17
2005-11,0
2005-12,0
2006-01,26
2006-02,27
2006-03,46
2006-04,43
2006-05,40
2006-06,47
2006-07,44
2006-08,44
2006-09,49
2006-10,31
2006-11,40
2006-12,48
2007-01,54
2007-02,55
2007-03,50
2007-04,56
2007-05,51
2007-06,60
2007-07,59
2007-08,42
2007-09,35
2007-10,28
2007-11,27
2007-12,28
2008-01,38
2008-02,37
2008-03,32
2008-04,34
2008-05,28
2008-06,38
2008-07,49
2008-08,37
2008-09,28
2008-10,36
2008-11,29
2008-12,19
2009-01,25
2009-02,22
2009-03,16
2009-04,18
2009-05,20
2009-06,28
2009-07,38
2009-08,33
2009-09,16
2009-10,21
2009-11,18
2009-12,23
2010-01,22
2010-02,27
2010-03,24
2010-04,25
2010-05,22
2010-06,38
2010-07,40
2010-08,34
2010-09,24
2010-10,19
2010-11,22
2010-12,25
2011-01,26
2011-02,22
2011-03,22
2011-04,22
2011-05,23
2011-06,36
2011-07,51
2011-08,37
2011-09,20
2011-10,23
2011-11,21
2011-12,30
2012-01,19
2012-02,23
2012-03,20
2012-04,22
2012-05,52
2012-06,36
2012-07,44
2012-08,32
2012-09,26
2012-10,18
2012-11,18
2012-12,25
2013-01,22
2013-02,22
2013-03,18
2013-04,21
2013-05,22
2013-06,26
2013-07,35
2013-08,29
2013-09,17
2013-10,17
2013-11,17
2013-12,26
2014-01,21
2014-02,18
2014-03,18
2014-04,17
2014-05,21
2014-06,28
2014-07,33
2014-08,28
2014-09,22
2014-10,17
2014-11,22
2014-12,26
2015-01,22
2015-02,20
2015-03,19
2015-04,22
2015-05,30
2015-06,35
2015-07,39
2015-08,40
2015-09,49
2015-10,43
2015-11,36
2015-12,51
2016-01,34
2016-02,24
2016-03,27
2016-04,25
2016-05,27
2016-06,37
2016-07,44
2016-08,44
2016-09,27
2016-10,23
2016-11,21
2016-12,31
2017-01,26
2017-02,22
2017-03,20
2017-04,19
2017-05,30
2017-06,30
2017-07,34
2017-08,29
2017-09,22
2017-10,17
2017-11,17
2017-12,26
2018-01,23
2018-02,19
2018-03,22
2018-04,32
2018-05,27
2018-06,37
2018-07,36
2018-08,36
2018-09,29
2018-10,25
2018-11,23
2018-12,28
2019-01,28
2019-02,27
2019-03,25
2019-04,28
2019-05,28
2019-06,42
2019-07,44
2019-08,42
2019-09,29
2019-10,21
2019-11,28
2019-12,32
2020-01,30
2020-02,28
2020-03,25
2020-04,22
2020-05,24
2020-06,33
2020-07,39
2020-08,37
2020-09,26
2020-10,20
2020-11,19
2020-12,25
2021-01,25
2021-02,28
2021-03,23
2021-04,28
2021-05,33
2021-06,42
2021-07,54
2021-08,49
2021-09,36
2021-10,26
2021-11,29
2021-12,47
2022-01,44
2022-02,37
2022-03,30
2022-04,37
2022-05,40
2022-06,53
2022-07,56
2022-08,56
2022-09,37
2022-10,28
2022-11,30
2022-12,36
2023-01,37
2023-02,29
2023-03,39
2023-04,40
2023-05,43
2023-06,49
2023-07,58
2023-08,55
2023-09,45
2023-10,32
2023-11,32
2023-12,43
2024-01,40
2024-02,48
2024-03,44
